step,analysis,quantity,value,ci_low,ci_high,n,test,statistic,df,p_value,effect_size_name,effect_size,notes
4,converter_contrast,low_impact_tau_t-1,2.341561170785951,,,45.0,Welch t-test (converter - non-converter),3.072599917264425,,0.005710928717579255,Cohen's d,1.009135206436029,"converters n = 17, non-converters n = 28"
4,converter_contrast,low_impact_tau_t0.5,4.111386290073385,,,43.0,Welch t-test (converter - non-converter),3.4627408746838397,,0.001943671520142627,Cohen's d,1.1245584131065158,"converters n = 17, non-converters n = 26"
4,converter_contrast,low_impact_tau_t24,3.803327816651146,,,44.0,Welch t-test (converter - non-converter),4.214485063162867,,0.0003569024181548141,Cohen's d,1.3833433208140913,"converters n = 17, non-converters n = 27"
4,converter_contrast,low_impact_dtau_0.5,1.7204851741875986,,,43.0,Welch t-test on delta-tau at 0.5 h,1.7208665244504384,,0.09555405612497014,Cohen's d,0.5463834142969117,
4,converter_contrast,high_impact_tau_t-1,0.7390684335675459,,,43.0,Welch t-test (converter - non-converter),1.3379358078675463,,0.18842253628269431,Cohen's d,0.40892800421092906,"converters n = 20, non-converters n = 23"
4,converter_contrast,high_impact_tau_t0.5,2.178865644361012,,,40.0,Welch t-test (converter - non-converter),3.8666052106004165,,0.0004380234109792775,Cohen's d,1.222727927817235,"converters n = 20, non-converters n = 20"
4,converter_contrast,high_impact_tau_t24,3.1728265597230356,,,42.0,Welch t-test (converter - non-converter),4.822633006872102,,3.8044212903753184e-05,Cohen's d,1.5227201535255595,"converters n = 19, non-converters n = 23"
4,converter_contrast,high_impact_dtau_0.5,1.3513077041188057,,,40.0,Welch t-test on delta-tau at 0.5 h,1.6049413508586268,,0.11737198258260827,Cohen's d,0.5075270179700696,
4,operations,n_sessions,15,,,15.0,,,,,,,
4,operations,total_fish_sessions_recorded,650,,,15.0,,,,,,,
4,operations,fish_per_hour_mean,33.31281662261865,,,15.0,,,,,,,
4,operations,fish_per_hour_sd,2.390206767215313,,,15.0,,,,,,,
4,operations,operator_min_per_fish_mean,0.8979353688684376,,,15.0,,,,,,,
4,operations,operator_min_per_fish_sd,0.14115871226957435,,,15.0,,,,,,,
4,operations,cost_per_fish_usd_mean,0.09352309481657187,,,15.0,,,,,,,"consumables_cost_usd is treated as a per-session total (it scales with n_fish_recorded, r = 0.999)"
4,operations,cost_per_fish_usd_sd,0.0015942959263007285,,,15.0,,,,,,,"consumables_cost_usd is treated as a per-session total (it scales with n_fish_recorded, r = 0.999)"
4,operations,total_consumables_usd,60.75999999999999,,,15.0,,,,,,,
4,operations,total_operator_hours,9.736666666666666,,,15.0,,,,,,,
4,operations,fish_lost_total,9,,,15.0,,,,,,,
4,operations,fish_at_baseline,133,,,15.0,,,,,,,
4,operations,attrition_rate,0.06766917293233082,,,15.0,,,,,,,
4,operations,attrition_rate_ci,0.06766917293233082,0.03600638717710822,0.12360502744039734,133.0,Wilson 95% CI for a proportion,,,,,,
4,ptz,prop_seized_sham,0.25,0.08894166839405476,0.5323053349335658,12.0,Wilson 95% CI,,,,,,3/12 seized
4,ptz,prop_seized_low_impact,0.5833333333333334,0.31951131254954973,0.8067396863412435,12.0,Wilson 95% CI,,,,,,7/12 seized
4,ptz,prop_seized_high_impact,0.7,0.39677814746114537,0.8922087325936989,10.0,Wilson 95% CI,,,,,,7/10 seized
4,ptz,chi_square,4.933333333333333,,,34.0,"Pearson chi-square, 3 groups x seized/not",4.933333333333333,2,0.08486727897001749,Cramer's V,0.38091736533753123,SECONDARY and UNDERPOWERED -- see power estimate below
4,ptz,min_expected_cell_count,5.0,,,34.0,,,,,,,chi-square is unreliable below 5; Fisher reported alongside
4,ptz,fisher_exact_low_vs_high,,,,22.0,"Fisher exact, low vs high impact",,,0.6749226006191951,,,
4,ptz,post_hoc_power_sham_vs_injured,0.6059456029123034,,,34.0,,,,,Cohen's h,0.7998254063618901,"two-proportion z, alpha = 0.05, two-sided; reported to make the underpowering explicit, not to reinterpret the p-value"
