fish_id,group,clutch,tau_-1,tau_0.5,tau_24,loco_-1,loco_0.5,loco_24,pre_tau,baseline_locomotion_pre,dtau_0.5,dtau_24,converted,burst_events_per_hour,ptz_challenged,dose
zf_050,sham,clutch_B,6.2413107562975085,3.38656087110165,5.002296598307248,106.49,109.47,113.83,6.2413107562975085,106.49,-2.8547498851958584,-1.239014157990261,0,0.18,0,0
zf_051,sham,clutch_B,7.0903221155585605,6.389925349728722,3.976997296667067,119.08,111.72,119.8,7.0903221155585605,119.08,-0.7003967658298382,-3.1133248188914937,0,0.89,0,0
zf_052,sham,clutch_B,7.066660600479619,7.345195880592623,8.311482745638452,110.5,108.28,107.33,7.066660600479619,110.5,0.27853528011300455,1.2448221451588335,0,0.13,1,0
zf_053,sham,clutch_B,11.201154546136928,11.915383044097991,7.7273505465204515,107.29,107.95,112.05,11.201154546136928,107.29,0.7142284979610629,-3.473803999616477,0,0.13,0,0
zf_054,sham,clutch_B,7.409547022361222,6.177838855273211,9.308858781485048,106.62,109.55,105.12,7.409547022361222,106.62,-1.2317081670880112,1.899311759123826,0,0.28,0,0
zf_055,sham,clutch_B,8.024283385797446,10.474778076282202,11.191397890953963,103.65,109.96,114.05,8.024283385797446,103.65,2.4504946904847564,3.1671145051565173,0,0.54,0,0
zf_056,sham,clutch_B,7.618884215698695,5.182428585552568,7.884403378657418,112.36,110.2,107.57,7.618884215698695,112.36,-2.436455630146127,0.26551916295872324,0,0.11,0,0
zf_057,sham,clutch_B,3.7733492559717168,1.2105133485865642,0.838632774418876,116.31,108.88,117.2,3.7733492559717168,116.31,-2.5628359073851525,-2.934716481552841,0,0.28,1,0
zf_058,sham,clutch_B,4.572925400837068,4.7918345779105485,7.264822691257223,107.12,108.12,105.41,4.572925400837068,107.12,0.21890917707348034,2.6918972904201546,0,0.36,0,0
zf_059,sham,clutch_B,4.971571762490612,5.0524082109308805,5.122868784935287,110.64,106.59,100.91,4.971571762490612,110.64,0.0808364484402686,0.15129702244467502,0,0.11,0,0
zf_060,sham,clutch_B,6.441348904440713,13.822469115730526,5.697602399239719,102.33,108.49,109.62,6.441348904440713,102.33,7.381120211289812,-0.7437465052009937,0,0.51,0,0
zf_061,low_impact,clutch_B,5.80313551012578,7.24806818603856,9.022065038169107,114.83,104.9,97.46,5.80313551012578,114.83,1.4449326759127796,3.2189295280433265,1,5.55,0,0
zf_062,low_impact,clutch_B,5.487177620670945,13.821431323153819,8.147174935010463,112.08,110.26,115.76,5.487177620670945,112.08,8.334253702482874,2.6599973143395186,0,0.06,0,0
zf_063,low_impact,clutch_B,7.78436833053409,10.889439888355245,6.704305037264832,108.47,100.83,110.72,7.78436833053409,108.47,3.105071557821155,-1.0800632932692578,1,1.72,1,0
zf_064,low_impact,clutch_B,5.592911321561075,19.45785772669161,5.727936966164864,105.2,102.08,113.59,5.592911321561075,105.2,13.864946405130535,0.13502564460378963,0,1.04,0,0
zf_065,low_impact,clutch_B,4.792291031583718,6.511377086004045,2.282701350934934,113.5,93.55,114.89,4.792291031583718,113.5,1.7190860544203268,-2.5095896806487845,0,0.59,1,0
zf_066,low_impact,clutch_B,4.454541206126626,8.745832952905985,6.604314977668021,110.46,106.1,105.69,4.454541206126626,110.46,4.291291746779359,2.149773771541395,0,1.27,0,0
zf_067,low_impact,clutch_B,4.5058746924866995,10.09472505750456,5.901590024041102,124.69,96.67,116.37,4.5058746924866995,124.69,5.58885036501786,1.3957153315544026,0,0.83,0,0
zf_068,low_impact,clutch_B,8.40302268225008,12.79257185887466,7.856376350233171,113.4,94.92,110.37,8.40302268225008,113.4,4.38954917662458,-0.546646332016909,0,0.24,1,0
zf_069,low_impact,clutch_B,7.088517995353588,7.226506599954461,11.21209036147246,108.9,101.83,111.24,7.088517995353588,108.9,0.13798860460087248,4.123572366118872,1,11.5,0,0
zf_070,low_impact,clutch_B,7.419604284363598,7.074085481462943,7.689451359547294,105.36,97.29,116.12,7.419604284363598,105.36,-0.3455188029006555,0.2698470751836961,0,0.83,0,0
zf_071,low_impact,clutch_B,4.927460101666104,5.737720894231881,4.655292038406174,115.67,102.63,107.54,4.927460101666104,115.67,0.810260792565777,-0.27216806325993037,0,1.27,0,0
zf_072,low_impact,clutch_B,6.3666487609902,7.805877654865453,7.741563190463838,112.05,97.65,112.7,6.3666487609902,112.05,1.4392288938752529,1.3749144294736375,0,0.86,1,0
zf_073,low_impact,clutch_B,9.342939634457634,10.913991057656899,9.639031182852204,110.06,97.92,109.88,9.342939634457634,110.06,1.5710514231992647,0.2960915483945694,1,7.09,0,0
zf_074,low_impact,clutch_B,12.000814463192985,10.804456920175378,6.693077291785262,109.75,93.98,104.54,12.000814463192985,109.75,-1.1963575430176068,-5.307737171407722,1,4.97,0,0
